Date,Open,High,Low,Close,Volume,Adj Close
29/05/2015,7040.899902,7069.899902,6967.899902,6984.399902,1177305700,6984.399902
28/05/2015,7033.299805,7049.600098,7005.899902,7040.899902,606689900,7040.899902
27/05/2015,6949,7054.100098,6948.600098,7033.299805,648739500,7033.299805
26/05/2015,7031.700195,7039.600098,6930.299805,6949,672679700,6949
22/05/2015,7013.5,7061.700195,7013.5,7031.700195,621811200,7031.700195
21/05/2015,7007.299805,7026,6994.299805,7013.5,565597600,7013.5
20/05/2015,6995.100098,7018.700195,6962.100098,7007.299805,825148300,7007.299805
19/05/2015,6968.899902,7011.399902,6968.899902,6995.100098,778022500,6995.100098
18/05/2015,6960.5,7015.5,6931.600098,6968.899902,614216300,6968.899902
15/05/2015,6973,7009.399902,6937.100098,6960.5,703827400,6960.5
14/05/2015,6949.600098,6977.899902,6884.600098,6973,603503300,6973
13/05/2015,6933.799805,6989.899902,6920.700195,6949.600098,795743700,6949.600098
12/05/2015,7029.899902,7029.899902,6887.5,6933.799805,839991900,6933.799805
11/05/2015,7046.799805,7083.700195,7025.200195,7029.899902,792210200,7029.899902
08/05/2015,6887,7046.799805,6885.799805,7046.799805,1385914100,7046.799805
07/05/2015,6933.700195,6933.700195,6810.100098,6887,945024800,6887
06/05/2015,6927.600098,6974.799805,6913.5,6933.700195,883946300,6933.700195
05/05/2015,6986,7053.200195,6927.600098,6927.600098,1019856100,6927.600098
01/05/2015,6960.600098,6995.399902,6919.399902,6986,838058900,6986
30/04/2015,6946.299805,6970.299805,6906.200195,6960.600098,906266700,6960.600098
29/04/2015,7030.5,7058.200195,6945.600098,6946.299805,767322400,6946.299805
28/04/2015,7104,7104,6984,7030.5,796371600,7030.5
27/04/2015,7070.700195,7122.700195,7025.299805,7104,679761700,7104
24/04/2015,7053.700195,7102.600098,7051.200195,7070.700195,796682000,7070.700195
23/04/2015,7028.200195,7055.200195,6995.799805,7053.700195,714656500,7053.700195
22/04/2015,7062.899902,7092.299805,6997.200195,7028.200195,785146300,7028.200195
21/04/2015,7052.100098,7105.100098,7030,7062.899902,655787700,7062.899902
20/04/2015,6994.600098,7067.799805,6994.600098,7052.100098,583888000,7052.100098
17/04/2015,7060.5,7093.5,6979.299805,6994.600098,776519900,6994.600098
16/04/2015,7096.799805,7119.399902,7057.700195,7060.5,750900800,7060.5
15/04/2015,7075.299805,7111.700195,7058.299805,7096.799805,722590500,7096.799805
14/04/2015,7064.299805,7086.100098,7044.600098,7075.299805,669927300,7075.299805
13/04/2015,7089.799805,7089.799805,7046.700195,7064.299805,592637100,7064.299805
10/04/2015,7015.399902,7095.399902,7015.399902,7089.799805,801926500,7089.799805
09/04/2015,6937.399902,7017,6937.399902,7015.399902,698600800,7015.399902
08/04/2015,6961.799805,7012.100098,6931.600098,6937.399902,865524000,6937.399902
07/04/2015,6833.5,6967.700195,6833.5,6961.799805,704104300,6961.799805
02/04/2015,6809.5,6849.899902,6801.299805,6833.5,575894800,6833.5
01/04/2015,6773,6856.399902,6765.399902,6809.5,800482200,6809.5
31/03/2015,6891.399902,6910.100098,6765.100098,6773,900335700,6773
30/03/2015,6855,6914.600098,6855,6891.399902,639393900,6891.399902
27/03/2015,6895.299805,6910.600098,6839.899902,6855,736697300,6855
26/03/2015,6991,6991,6876.799805,6895.299805,936518300,6895.299805
25/03/2015,7019.700195,7035.100098,6983.899902,6991,645837600,6991
24/03/2015,7037.700195,7065.100098,7012.5,7019.700195,702620900,7019.700195
23/03/2015,7022.5,7037.700195,6991.399902,7037.700195,673591200,7037.700195
20/03/2015,6962.299805,7024.200195,6960.799805,7022.5,1419421400,7022.5
19/03/2015,6945.200195,6982.799805,6929.700195,6962.299805,809174400,6962.299805
18/03/2015,6837.600098,6945.200195,6837.299805,6945.200195,772632700,6945.200195
17/03/2015,6804.100098,6846.899902,6798.5,6837.600098,757362800,6837.600098
16/03/2015,6740.600098,6809.100098,6740.600098,6804.100098,685731900,6804.100098
13/03/2015,6761.100098,6777.799805,6713.5,6740.600098,710321200,6740.600098
12/03/2015,6721.5,6799.799805,6721.5,6761.100098,845927100,6761.100098
11/03/2015,6702.799805,6739,6693.799805,6721.5,746833900,6721.5
10/03/2015,6876.5,6876.899902,6702.799805,6702.799805,887272000,6702.799805
09/03/2015,6911.799805,6911.799805,6859.799805,6876.5,670579200,6876.5
06/03/2015,6961.100098,6961.200195,6911.799805,6911.799805,748637900,6911.799805
05/03/2015,6919.200195,6968.600098,6914.100098,6961.100098,798406800,6961.100098
04/03/2015,6889.100098,6919.200195,6862.899902,6919.200195,741168200,6919.200195
03/03/2015,6940.600098,6963.600098,6889.100098,6889.100098,784037600,6889.100098
02/03/2015,6946.700195,6974.299805,6924.299805,6940.600098,778879400,6940.600098
27/02/2015,6949.700195,6967.200195,6929.799805,6946.700195,881579100,6946.700195
26/02/2015,6935.399902,6950,6920.5,6949.700195,782087000,6949.700195
25/02/2015,6949.600098,6955.399902,6904.899902,6935.399902,697704800,6935.399902
24/02/2015,6912.200195,6958.899902,6899.600098,6949.600098,831640000,6949.600098
23/02/2015,6915.200195,6943.600098,6885.899902,6912.200195,680805600,6912.200195
20/02/2015,6888.899902,6920.5,6884.799805,6915.200195,764028800,6915.200195
19/02/2015,6898.100098,6907.299805,6858.700195,6888.899902,641759700,6888.899902
18/02/2015,6898.100098,6921.299805,6876.299805,6898.100098,677405400,6898.100098
17/02/2015,6857.100098,6898.100098,6819.799805,6898.100098,612932700,6898.100098
16/02/2015,6873.5,6878.700195,6851.799805,6857.100098,415979100,6857.100098
13/02/2015,6828.100098,6887.600098,6828.100098,6873.5,734854200,6873.5
12/02/2015,6818.200195,6854.600098,6817.200195,6828.100098,809863300,6828.100098
11/02/2015,6829.100098,6838.299805,6786.100098,6818.200195,623275800,6818.200195
10/02/2015,6837.200195,6843.899902,6788.899902,6829.100098,773108400,6829.100098
09/02/2015,6853.399902,6853.399902,6778,6837.200195,620697200,6837.200195
06/02/2015,6865.899902,6886.200195,6835.5,6853.399902,648533700,6853.399902
05/02/2015,6860,6870.100098,6808.200195,6865.899902,731200400,6865.899902
04/02/2015,6871.799805,6883.5,6804.100098,6860,817845800,6860
03/02/2015,6782.600098,6886.299805,6782.399902,6871.799805,855708500,6871.799805
02/02/2015,6749.399902,6795.5,6732,6782.600098,757554400,6782.600098
30/01/2015,6810.600098,6844,6749.399902,6749.399902,799357300,6749.399902
29/01/2015,6825.899902,6825.899902,6750.200195,6810.600098,704517100,6810.600098
28/01/2015,6811.600098,6863,6777.100098,6825.899902,779603800,6825.899902
27/01/2015,6852.399902,6865,6773.5,6811.600098,713907000,6811.600098
26/01/2015,6832.799805,6855.899902,6790.100098,6852.399902,611915000,6852.399902
23/01/2015,6796.600098,6841.700195,6796.600098,6832.799805,839368300,6832.799805
22/01/2015,6728,6808.200195,6726.200195,6796.600098,926018400,6796.600098
21/01/2015,6620.100098,6728,6620.100098,6728,847589600,6728
20/01/2015,6585.5,6640.399902,6585.5,6620.100098,677002900,6620.100098
19/01/2015,6550.299805,6598.899902,6548,6585.5,537915700,6585.5
16/01/2015,6498.799805,6553.200195,6443.299805,6550.299805,805741900,6550.299805
15/01/2015,6388.5,6498.799805,6298.200195,6498.799805,980049600,6498.799805
14/01/2015,6542.200195,6542.200195,6353.700195,6388.5,971256900,6388.5
13/01/2015,6501.399902,6558.799805,6465.200195,6542.200195,673572900,6542.200195
12/01/2015,6501.100098,6542.399902,6447.899902,6501.399902,602313100,6501.399902
09/01/2015,6570,6570.200195,6471.399902,6501.100098,738488500,6501.100098
08/01/2015,6419.799805,6580.799805,6419.799805,6570,882740200,6570
07/01/2015,6366.5,6459.700195,6366.5,6419.799805,688211500,6419.799805
06/01/2015,6417.200195,6452.700195,6328.600098,6366.5,769463100,6366.5
05/01/2015,6547.799805,6576.700195,6404.5,6417.200195,728001100,6417.200195
02/01/2015,6566.100098,6607.899902,6510.600098,6547.799805,367562200,6547.799805
31/12/2014,6547,6578.200195,6547,6566.100098,125563600,6566.100098
30/12/2014,6633.5,6633.5,6528.899902,6547,337948000,6547
29/12/2014,6609.899902,6652,6587.899902,6633.5,350346200,6633.5
24/12/2014,6598.200195,6618.100098,6586.100098,6609.899902,253486900,6609.899902
23/12/2014,6576.700195,6620.5,6576.700195,6598.200195,380283900,6598.200195
22/12/2014,6545.299805,6621,6545.299805,6576.700195,483625300,6576.700195
19/12/2014,6466,6566.899902,6466,6545.299805,1144608500,6545.299805
18/12/2014,6336.5,6466,6336.5,6466,967411900,6466
17/12/2014,6331.799805,6359.700195,6240.299805,6336.5,745851900,6336.5
16/12/2014,6182.700195,6331.799805,6144.700195,6331.799805,1037451400,6331.799805
15/12/2014,6300.600098,6356.299805,6182.700195,6182.700195,985776000,6182.700195
12/12/2014,6461.700195,6461.700195,6297.399902,6300.600098,793966500,6300.600098
